-0.5  -0.5  0.5
-0.48743  -0.49988  0.49246
-0.47487  -0.49953  0.48493
-0.46231  -0.49893  0.47743
-0.44976  -0.49811  0.46995
-0.43721  -0.49704  0.46252
-0.42467  -0.49574  0.45515
-0.41215  -0.4942  0.44783
-0.39964  -0.49243  0.44059
-0.38714  -0.49042  0.43344
-0.37467  -0.48817  0.42638
-0.36221  -0.48569  0.41942
-0.34977  -0.48298  0.41258
-0.33736  -0.48003  0.40586
-0.32498  -0.47685  0.39928
-0.31262  -0.47343  0.39283
-0.30029  -0.46978  0.38655
-0.28799  -0.4659  0.38042
-0.27573  -0.46179  0.37446
-0.2635  -0.45745  0.36868
-0.25131  -0.45287  0.36309
-0.23916  -0.44807  0.35769
-0.22705  -0.44304  0.3525
-0.21498  -0.43778  0.34751
-0.20296  -0.4323  0.34274
-0.19098  -0.42658  0.3382
-0.17906  -0.42065  0.33388
-0.16718  -0.41449  0.3298
-0.15536  -0.4081  0.32596
-0.14359  -0.40149  0.32237
-0.13188  -0.39466  0.31903
-0.12022  -0.38762  0.31595
-0.10863  -0.38035  0.31313
-0.097094  -0.37286  0.31058
-0.085624  -0.36516  0.3083
-0.074221  -0.35724  0.30628
-0.062884  -0.34911  0.30455
-0.051617  -0.34076  0.30309
-0.04042  -0.3322  0.30191
-0.029296  -0.32344  0.30101
-0.018246  -0.31446  0.30039
-0.0072727  -0.30528  0.30006
0.0036232  -0.29589  0.30002
0.01444  -0.28629  0.30025
0.025175  -0.27649  0.30077
0.035827  -0.26649  0.30158
0.046394  -0.25629  0.30266
0.056876  -0.24589  0.30403
0.067269  -0.2353  0.30567
0.077573  -0.22451  0.30759
0.087785  -0.21353  0.30979
0.097905  -0.20235  0.31225
0.10793  -0.19099  0.31498
0.11786  -0.17943  0.31798
0.12769  -0.16769  0.32123
0.13742  -0.15577  0.32474
0.14706  -0.14366  0.32849
0.15659  -0.13138  0.33249
0.16601  -0.11891  0.33673
0.17533  -0.10627  0.3412
0.18455  -0.093453  0.3459
0.19365  -0.080464  0.35081
0.20265  -0.067304  0.35594
0.21154  -0.053975  0.36127
0.22031  -0.04048  0.3668
0.22897  -0.026821  0.37252
0.23751  -0.012999  0.37841
0.24594  0.0009822  0.38449
0.25425  0.015121  0.39072
0.26244  0.029416  0.39711
0.27051  0.043864  0.40365
0.27846  0.058463  0.41032
0.28629  0.073211  0.41712
0.29399  0.088105  0.42404
0.30157  0.10314  0.43107
0.30902  0.11832  0.4382
0.31634  0.13364  0.44541
0.32353  0.1491  0.4527
0.3306  0.16469  0.46006
0.33753  0.18041  0.46747
0.34433  0.19626  0.47493
0.35099  0.21224  0.48243
0.35753  0.22834  0.48995
0.36392  0.24457  0.49749
0.37018  0.26091  0.50503
0.37631  0.27737  0.51256
0.38229  0.29394  0.52007
0.38814  0.31063  0.52756
0.39384  0.32743  0.535
0.39941  0.34433  0.5424
0.40483  0.36133  0.54974
0.41011  0.37844  0.557
0.41524  0.39564  0.56419
0.42023  0.41294  0.57128
0.42508  0.43033  0.57827
0.42978  0.44781  0.58516
0.43433  0.46538  0.59192
0.43873  0.48304  0.59855
0.44299  0.50077  0.60503
0.4471  0.51858  0.61138
0.45106  0.53647  0.61756
0.45486  0.55444  0.62357
0.45852  0.57247  0.62941
0.46203  0.59057  0.63507
0.46538  0.60874  0.64053
0.46858  0.62697  0.64579
0.47163  0.64525  0.65085
0.47453  0.66359  0.65569
0.47727  0.68199  0.66031
0.47986  0.70044  0.66471
0.48229  0.71893  0.66887
0.48456  0.73747  0.67278
0.48669  0.75604  0.67646
0.48865  0.77466  0.67988
0.49046  0.79331  0.68305
0.49211  0.812  0.68596
0.49361  0.83072  0.6886
0.49495  0.84946  0.69097
0.49613  0.86822  0.69308
0.49716  0.88701  0.69491
0.49803  0.90581  0.69646
0.49874  0.92463  0.69773
0.49929  0.94346  0.69872
0.49968  0.9623  0.69943
0.49992  0.98115  0.69986
0.5  1  0.7
