0 0 0
0.004 0.002 0.0048
0.008 0.004 0.0096
0.012 0.006 0.0144
0.016 0.008 0.0192
0.02 0.01 0.024
0.024 0.012 0.0288
0.028 0.014 0.0336
0.032 0.016 0.0384
0.036 0.018 0.0432
0.04 0.02 0.048
0.044 0.022 0.0528
0.048 0.024 0.0576
0.052 0.026 0.0624
0.056 0.028 0.0672
0.06 0.03 0.072
0.064 0.032 0.0768
0.068 0.034 0.0816
0.072 0.036 0.0864
0.076 0.038 0.0912
0.08 0.04 0.096
0.084 0.042 0.1008
0.088 0.044 0.1056
0.092 0.046 0.1104
0.096 0.048 0.1152
0.1 0.05 0.12
0.104 0.052 0.1248
0.108 0.054 0.1296
0.112 0.056 0.1344
0.116 0.058 0.1392
0.12 0.06 0.144
0.124 0.062 0.1488
0.128 0.064 0.1536
0.132 0.066 0.1584
0.136 0.068 0.1632
0.14 0.07 0.168
0.144 0.072 0.1728
0.148 0.074 0.1776
0.152 0.076 0.1824
0.156 0.078 0.1872
0.16 0.08 0.192
0.164 0.082 0.1968
0.168 0.084 0.2016
0.172 0.086 0.2064
0.176 0.088 0.2112
0.18 0.09 0.216
0.184 0.092 0.2208
0.188 0.094 0.2256
0.192 0.096 0.2304
0.196 0.098 0.2352
0.2 0.1 0.24
0.204 0.102 0.2448
0.208 0.104 0.2496
0.212 0.106 0.2544
0.216 0.108 0.2592
0.22 0.11 0.264
0.224 0.112 0.2688
0.228 0.114 0.2736
0.232 0.116 0.2784
0.236 0.118 0.2832
0.24 0.12 0.288
0.244 0.122 0.2928
0.248 0.124 0.2976
0.252 0.126 0.3024
0.256 0.128 0.3072
0.26 0.13 0.312
0.264 0.132 0.3168
0.268 0.134 0.3216
0.272 0.136 0.3264
0.276 0.138 0.3312
0.28 0.14 0.336
0.284 0.142 0.3408
0.288 0.144 0.3456
0.292 0.146 0.3504
0.296 0.148 0.3552
0.3 0.15 0.36
0.304 0.152 0.3648
0.308 0.154 0.3696
0.312 0.156 0.3744
0.316 0.158 0.3792
0.32 0.16 0.384
0.324 0.162 0.3888
0.328 0.164 0.3936
0.332 0.166 0.3984
0.336 0.168 0.4032
0.34 0.17 0.408
0.344 0.172 0.4128
0.348 0.174 0.4176
0.352 0.176 0.4224
0.356 0.178 0.4272
0.36 0.18 0.432
0.364 0.182 0.4368
0.368 0.184 0.4416
0.372 0.186 0.4464
0.376 0.188 0.4512
0.38 0.19 0.456
0.384 0.192 0.4608
0.388 0.194 0.4656
0.392 0.196 0.4704
0.396 0.198 0.4752
0.4 0.2 0.48
0.404 0.202 0.4848
0.408 0.204 0.4896
0.412 0.206 0.4944
0.416 0.208 0.4992
0.42 0.21 0.504
0.424 0.212 0.5088
0.428 0.214 0.5136
0.432 0.216 0.5184
0.436 0.218 0.5232
0.44 0.22 0.528
0.444 0.222 0.5328
0.448 0.224 0.5376
0.452 0.226 0.5424
0.456 0.228 0.5472
0.46 0.23 0.552
0.464 0.232 0.5568
0.468 0.234 0.5616
0.472 0.236 0.5664
0.476 0.238 0.5712
0.48 0.24 0.576
0.484 0.242 0.5808
0.488 0.244 0.5856
0.492 0.246 0.5904
0.496 0.248 0.5952
0.5 0.25 0.6
0.504 0.252 0.6048
0.508 0.254 0.6096
0.512 0.256 0.6144
0.516 0.258 0.6192
0.52 0.26 0.624
0.524 0.262 0.6288
0.528 0.264 0.6336
0.532 0.266 0.6384
0.536 0.268 0.6432
0.54 0.27 0.648
0.544 0.272 0.6528
0.548 0.274 0.6576
0.552 0.276 0.6624
0.556 0.278 0.6672
0.56 0.28 0.672
0.564 0.282 0.6768
0.568 0.284 0.6816
0.572 0.286 0.6864
0.576 0.288 0.6912
0.58 0.29 0.696
0.584 0.292 0.7008
0.588 0.294 0.7056
0.592 0.296 0.7104
0.596 0.298 0.7152
0.6 0.3 0.72
0.604 0.302 0.7248
0.608 0.304 0.7296
0.612 0.306 0.7344
0.616 0.308 0.7392
0.62 0.31 0.744
0.624 0.312 0.7488
0.628 0.314 0.7536
0.632 0.316 0.7584
0.636 0.318 0.7632
0.64 0.32 0.768
0.644 0.322 0.7728
0.648 0.324 0.7776
0.652 0.326 0.7824
0.656 0.328 0.7872
0.66 0.33 0.792
0.664 0.332 0.7968
0.668 0.334 0.8016
0.672 0.336 0.8064
0.676 0.338 0.8112
0.68 0.34 0.816
0.684 0.342 0.8208
0.688 0.344 0.8256
0.692 0.346 0.8304
0.696 0.348 0.8352
0.7 0.35 0.84
0.704 0.352 0.8448
0.708 0.354 0.8496
0.712 0.356 0.8544
0.716 0.358 0.8592
0.72 0.36 0.864
0.724 0.362 0.8688
0.728 0.364 0.8736
0.732 0.366 0.8784
0.736 0.368 0.8832
0.74 0.37 0.888
0.744 0.372 0.8928
0.748 0.374 0.8976
0.752 0.376 0.9024
0.756 0.378 0.9072
0.76 0.38 0.912
0.764 0.382 0.9168
0.768 0.384 0.9216
0.772 0.386 0.9264
0.776 0.388 0.9312
0.78 0.39 0.936
0.784 0.392 0.9408
0.788 0.394 0.9456
0.792 0.396 0.9504
0.796 0.398 0.9552
0.8 0.4 0.96
0.804 0.402 0.9648
0.808 0.404 0.9696
0.812 0.406 0.9744
0.816 0.408 0.9792
0.82 0.41 0.984
0.824 0.412 0.9888
0.828 0.414 0.9936
0.832 0.416 0.9984
0.836 0.418 1.0032
0.84 0.42 1.008
0.844 0.422 1.0128
0.848 0.424 1.0176
0.852 0.426 1.0224
0.856 0.428 1.0272
0.86 0.43 1.032
0.864 0.432 1.0368
0.868 0.434 1.0416
0.872 0.436 1.0464
0.876 0.438 1.0512
0.88 0.44 1.056
0.884 0.442 1.0608
0.888 0.444 1.0656
0.892 0.446 1.0704
0.896 0.448 1.0752
0.9 0.45 1.08
0.904 0.452 1.0848
0.908 0.454 1.0896
0.912 0.456 1.0944
0.916 0.458 1.0992
0.92 0.46 1.104
0.924 0.462 1.1088
0.928 0.464 1.1136
0.932 0.466 1.1184
0.936 0.468 1.1232
0.94 0.47 1.128
0.944 0.472 1.1328
0.948 0.474 1.1376
0.952 0.476 1.1424
0.956 0.478 1.1472
0.96 0.48 1.152
0.964 0.482 1.1568
0.968 0.484 1.1616
0.972 0.486 1.1664
0.976 0.488 1.1712
0.98 0.49 1.176
0.984 0.492 1.1808
0.988 0.494 1.1856
0.992 0.496 1.1904
0.996 0.498 1.1952
1 0.5 1.2
